name,token_id, Color
Lucci #19,19, purple
Lucci #29,29, purple
Lucci #655,655, green
Lucci #30,30, green
Lucci #623,623, blue
Lucci #108,108, yellow
Lucci #140,140, purple
Lucci #154,154, purple
Lucci #73,73, silver
Lucci #93,93, silver
Lucci #133,133, blue
Lucci #134,134, red
Lucci #138,138, blue
Lucci #156,156, purple
Lucci #150,150, red
Lucci #141,141, green
Lucci #162,162, purple
Lucci #168,168, green
Lucci #144,144, blue
Lucci #88,88, purple
Lucci #139,139, yellow
Lucci #190,190, green
Lucci #166,166, blue
Lucci #172,172, blue
Lucci #197,197, green
Lucci #155,155, yellow
Lucci #182,182, blue
Lucci #279,279, blue
Lucci #262,262, red
Lucci #281,281, blue
Lucci #283,283, purple
Lucci #260,260, yellow
Lucci #274,274, yellow
Lucci #225,225, purple
Lucci #210,210, blue
Lucci #273,273, red
Lucci #310,310, purple
Lucci #280,280, silver
Lucci #214,214, red
Lucci #228,228, red
Lucci #213,213, blue
Lucci #313,313, purple
Lucci #439,439, blue
Lucci #303,303, red
Lucci #336,336, blue
Lucci #306,306, red
Lucci #369,369, yellow
Lucci #296,296, silver
Lucci #320,320, green
Lucci #412,412, yellow
Lucci #477,477, purple
Lucci #418,418, yellow
Lucci #343,343, blue
Lucci #444,444, blue
Lucci #482,482, purple
Lucci #456,456, blue
Lucci #325,325, green
Lucci #337,337, purple
Lucci #344,344, purple
Lucci #340,340, green
Lucci #346,346, purple
Lucci #517,517, purple
Lucci #349,349, green
Lucci #356,356, purple
Lucci #357,357, purple
Lucci #467,467, yellow
Lucci #530,530, purple
Lucci #480,480, green
Lucci #363,363, gold
Lucci #368,368, red
Lucci #518,518, blue
Lucci #485,485, purple
Lucci #504,504, green
Lucci #507,507, green
Lucci #669,669, green
Lucci #700,700, purple
Lucci #613,613, yellow
Lucci #621,621, yellow
Lucci #505,505, purple
Lucci #506,506, purple
Lucci #656,656, red
Lucci #531,531, blue
Lucci #634,634, blue
Lucci #688,688, green
Lucci #661,661, red
Lucci #538,538, blue
Lucci #542,542, blue
Lucci #739,739, purple
Lucci #693,693, green
Lucci #640,640, yellow
Lucci #698,698, gold
Lucci #540,540, gold
Lucci #702,702, green
Lucci #722,722, yellow
Lucci #818,818, gold
Lucci #737,737, yellow
Lucci #765,765, blue
Lucci #745,745, yellow
Lucci #767,767, blue
Lucci #871,871, purple
Lucci #756,756, yellow
Lucci #620,620, red
Lucci #798,798, silver
Lucci #874,874, purple
Lucci #701,701, yellow
Lucci #912,912, red
Lucci #632,632, purple
Lucci #922,922, red
Lucci #866,866, blue
Lucci #672,672, red
Lucci #858,858, yellow
Lucci #862,862, yellow
Lucci #894,894, green
Lucci #714,714, yellow
Lucci #876,876, blue
Lucci #822,822, blue
Lucci #970,970, purple
Lucci #886,886, blue
Lucci #901,901, black
Lucci #919,919, blue
Lucci #928,928, blue
Lucci #949,949, blue
Lucci #899,899, green
Lucci #917,917, green
Lucci #719,719, blue
Lucci #940,940, silver
Lucci #735,735, yellow
Lucci #715,715, red
Lucci #995,995, green
Lucci #1014,1014, purple
Lucci #1005,1005, green
Lucci #1028,1028, purple
Lucci #907,907, yellow
Lucci #908,908, yellow
Lucci #914,914, yellow
Lucci #1051,1051, red
Lucci #1027,1027, green
Lucci #1171,1171, purple
Lucci #1101,1101, silver
Lucci #761,761, purple
Lucci #1225,1225, red
Lucci #1227,1227, red
Lucci #1130,1130, green
Lucci #1194,1194, purple
Lucci #810,810, red
Lucci #815,815, red
Lucci #893,893, yellow
Lucci #766,766, silver
Lucci #39,39, red
Lucci #45,45, purple
Lucci #58,58, purple
Lucci #67,67, blue
Lucci #56,56, red
Lucci #171,171, yellow
Lucci #167,167, red
Lucci #170,170, red
Lucci #216,216, purple
Lucci #207,207, green
Lucci #191,191, yellow
Lucci #193,193, yellow
Lucci #217,217, green
Lucci #196,196, silver
Lucci #220,220, green
Lucci #204,204, red
Lucci #205,205, blue
Lucci #208,208, red
Lucci #226,226, purple
Lucci #365,365, green
Lucci #308,308, blue
Lucci #314,314, purple
Lucci #230,230, green
Lucci #361,361, red
Lucci #305,305, yellow
Lucci #309,309, yellow
Lucci #367,367, red
Lucci #317,317, yellow
Lucci #372,372, silver
Lucci #376,376, purple
Lucci #545,545, red
Lucci #516,516, blue
Lucci #510,510, green
Lucci #522,522, blue
Lucci #527,527, blue
Lucci #514,514, green
Lucci #551,551, red
Lucci #515,515, green
Lucci #523,523, green
Lucci #563,563, purple
Lucci #562,562, red
Lucci #511,511, yellow
Lucci #544,544, blue
Lucci #528,528, yellow
Lucci #547,547, green
Lucci #548,548, gold
Lucci #602,602, red
Lucci #605,605, red
Lucci #614,614, red
Lucci #617,617, purple
Lucci #731,731, silver
Lucci #550,550, purple
Lucci #556,556, red
Lucci #558,558, red
Lucci #607,607, yellow
Lucci #742,742, red
Lucci #746,746, silver
Lucci #757,757, red
Lucci #557,557, purple
Lucci #730,730, blue
Lucci #717,717, yellow
Lucci #721,721, yellow
Lucci #755,755, blue
Lucci #869,869, red
Lucci #629,629, green
Lucci #903,903, purple
Lucci #897,897, red
